,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Centennial Bank,Ogden,34430,No Acquirer,March 5 2010,5-Mar-10,14-Sep-12,2010-03-05-logo-centennial-ut.svg
Waterfield Bank,Germantown,34976,No Acquirer,March 5 2010,5-Mar-10,23-Aug-12,2010-03-05-WaterfieldBank.svg
Bank of Illinois,Normal,9268,Heartland Bank and Trust Company,March 5 2010,5-Mar-10,23-Aug-12,2010-03-05-bankofillinois.svg
Sun American Bank,Boca Raton,27126,First-Citizens Bank & Trust Company,March 5 2010,5-Mar-10,21-Mar-14,2010-03-05-SunAmericanBank.svg
LibertyPointe Bank,New York,58071,Valley National Bank,March 11 2010,11-Mar-10,23-Aug-12,2010-03-11-libertypointe.svg
The Park Avenue Bank,New York,27096,Valley National Bank,March 12 2010,12-Mar-10,23-Aug-12,2012-03-12-The%20Park%20Avenue%20Bank.svg
Statewide Bank,Covington,29561,Home Bank,March 12 2010,12-Mar-10,23-Aug-12,2010-03-12-logo-statewide.svg
Old Southern Bank,Orlando,58182,Centennial Bank,March 12 2010,12-Mar-10,21-Mar-14,2010-03-12-Old%20Southern%20Bank.svg
Bank of Hiawassee,Hiawassee,10054,Citizens South Bank,March 19 2010,19-Mar-10,21-Mar-14,2010-03-19-BankofHiawassee.svg
State Bank of Aurora,Aurora,8221,Northern State Bank,March 19 2010,19-Mar-10,23-Aug-12,2010-03-19-stateBankofaurora.svg
First Lowndes Bank,Fort Deposit,24957,First Citizens Bank,March 19 2010,19-Mar-10,21-Mar-14,2010-03-19-FirstLowndesBank.svg
Advanta Bank Corp.,Draper,33535,No Acquirer,March 19 2010,19-Mar-10,14-Sep-12,2010-03-19_Advanta.svg
Century Security Bank,Duluth,58104,Bank of Upson,March 19 2010,19-Mar-10,21-Mar-14,2010-03-19-centurysecurity.svg
American National Bank,Parma,18806,The National Bank and Trust Company,March 19 2010,19-Mar-10,23-Aug-12,2010-03-19-American%20National%20Bank.svg
Appalachian Community Bank,Ellijay,33989,Community & Southern Bank,March 19 2010,19-Mar-10,21-Mar-14,2010-03-19-appalachianCommunityBank.svg
Desert Hills Bank,Phoenix,57060,New York Community Bank,March 26 2010,26-Mar-10,23-Aug-12,2010-03-26-deserthillsbank.svg
Unity National Bank,Cartersville,34678,Bank of the Ozarks,March 26 2010,26-Mar-10,21-Mar-14,2010-03-26-UnityNationalBank.svg
McIntosh Commercial Bank,Carrollton,57399,CharterBank,March 26 2010,26-Mar-10,21-Mar-14,2010-03-26-mcintosh_commercial.svg
Key West Bank,Key West,34684,Centennial Bank,March 26 2010,26-Mar-10,21-Mar-14,2010-03-26-keywestbank.svg
Beach First National Bank,Myrtle Beach,34242,Bank of North Carolina,April 9 2010,9-Apr-10,21-Mar-14,2010-04-09-Beach%20First%20National%20Bank.svg
Riverside National Bank of Florida,Fort Pierce,24067,"TD Bank, N.A.",April 16 2010,16-Apr-10,21-Mar-14,2010-04-16-RiverSideBank.svg
City Bank,Lynnwood,21521,Whidbey Island Bank,April 16 2010,16-Apr-10,14-Sep-12,2010-04-16-CityBank%20Logo%20[Converted].svg
Tamalpais Bank,San Rafael,33493,"Union Bank, N.A.",April 16 2010,16-Apr-10,23-Aug-12,2010-04-16-tamalpais%20bank.svg
Innovative Bank,Oakland,23876,Center Bank,April 16 2010,16-Apr-10,23-Aug-12,2010-04-16-logo_innovative_bank.svg
Butler Bank,Lowell,26619,People's United Bank,April 16 2010,16-Apr-10,23-Aug-12,2010-04-16-butler%20bank.svg
AmericanFirst Bank,Clermont,57724,"TD Bank, N.A.",April 16 2010,16-Apr-10,21-Mar-14,2010-04-16-americanfirst_bank.svg
First Federal Bank of North Florida,Palatka,28886,"TD Bank, N.A.",April 16 2010,16-Apr-10,21-Mar-14,2010-04-16-firstFederalBankofNorthFlorida.svg
Lakeside Community Bank,Sterling Heights,34878,No Acquirer,April 16 2010,16-Apr-10,23-Aug-12,2010-04-16-lakeshide%20community%20bank.svg
New Century Bank,Chicago,34821,"MB Financial Bank, N.A.",April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-NewCenturyBank.svg
Wheatland Bank,Naperville,58429,Wheaton Bank & Trust,April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-logo-wheatland.svg
Peotone Bank and Trust Company,Peotone,10888,First Midwest Bank,April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-PeotoneBankandTrustCo.svg
Lincoln Park Savings Bank,Chicago,30600,Northbrook Bank & Trust Company,April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-lincolnparksavingsbank.svg
Citizens Bank and Trust Company of Chicago,Chicago,34658,Republic Bank of Chicago,April 23 2010,23-Apr-10,5-Jun-14,2010-04-30-CitizensFirstBancorp.svg
Broadway Bank,Chicago,22853,"MB Financial Bank, N.A.",April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-logo-broadway.svg
"Amcore Bank, National Association",Rockford,3735,Harris N.A.,April 23 2010,23-Apr-10,23-Aug-12,2010-04-23-AmcoreBank.svg
CF Bancorp,Port Huron,30005,First Michigan Bank,April 30 2010,30-Apr-10,15-Jan-13,2010-04-30-cfbancorp.svg
Frontier Bank,Everett,22710,"Union Bank, N.A.",April 30 2010,30-Apr-10,15-Jan-13,2010-04-30-frontier.svg
BC National Banks,Butler,17792,Community First Bank,April 30 2010,30-Apr-10,23-Aug-12,2010-04-30-BCnational%20Banks.svg
Champion Bank,Creve Coeur,58362,BankLiberty,April 30 2010,30-Apr-10,23-Aug-12,2010-04-30-ChampionBank.svg
Westernbank Puerto Rico,Mayaguez,31027,Banco Popular de Puerto Rico,April 30 2010,30-Apr-10,21-Mar-14,2010-04-03-westernbank%20puerto%20rico.svg
R-G Premier Bank of Puerto Rico,Hato Rey,32185,Scotiabank de Puerto Rico,April 30 2010,30-Apr-10,21-Mar-14,2010-04-30-RG%20Premier%20Bank.svg
Eurobank,San Juan,27150,Oriental Bank and Trust,April 30 2010,30-Apr-10,21-Mar-14,2010-04-23-eurobank.svg
1st Pacific Bank of California,San Diego,35517,City National Bank,May 2007 2010,7-May-10,13-Dec-12,2010-05-07-1stPacificBancorp.svg
Towne Bank of Arizona,Mesa,57697,Commerce Bank of Arizona,May 2007 2010,7-May-10,23-Aug-12,2010-05-07-TowneBankof%20Arizona.svg
Access Bank,Champlin,16476,PrinsBank,May 2007 2010,7-May-10,23-Aug-12,2010-05-07-accessBank.svg
The Bank of Bonifay,Bonifay,14246,First Federal Bank of Florida,May 2007 2010,7-May-10,5-Nov-12,2010-05-07-the%20Bank%20of%20Bonifay.svg
Midwest Bank and Trust Company,Elmwood Park,18117,"FirstMerit Bank, N.A.",May 2014 2010,14-May-10,23-Aug-12,2010-05-14-midwestBank.svg
Southwest Community Bank,Springfield,34255,Simmons First National Bank,May 2014 2010,14-May-10,23-Aug-12,2010-05-14-southwest%20CommunityBank.svg
New Liberty Bank,Plymouth,35586,Bank of Ann Arbor,May 2014 2010,14-May-10,23-Aug-12,2010-05-14-NewLibertyBank.svg
Satilla Community Bank,Saint Marys,35114,Ameris Bank,May 2014 2010,14-May-10,21-Mar-14,2010-05-14-SatillaCommunityBank.svg
Pinehurst Bank,Saint Paul,57735,Coulee Bank,"May,21 2010",21-May-10,26-Oct-12,2010-05-21-pinehurst%20bank.svg
Bank of Florida - Tampa,Tampa,57814,EverBank,"May,28 2010",28-May-10,21-Mar-14,2010-05-28-bank%20of%20Florida.svg
Bank of Florida - Southwest,Naples,35106,EverBank,"May,28 2010",28-May-10,21-Mar-14,2010-05-28-bank%20of%20Florida.svg
Bank of Florida - Southeast,Fort Lauderdale,57360,EverBank,"May,28 2010",28-May-10,21-Mar-14,2010-05-28-bank%20of%20Florida.svg
Sun West Bank,Las Vegas,34785,City National Bank,"May,28 2010",28-May-10,14-Sep-12,2010-05-28-sunwestbank.svg
"Granite Community Bank, NA",Granite Bay,57315,Tri Counties Bank,"May,28 2010",28-May-10,14-Sep-12,2010-05-28-Granite%20Community%20Bank.svg
Arcola Homestead Savings Bank,Arcola,31813,No Acquirer,June 4 2010,4-Jun-10,14-Sep-12,2010-06-04-ArcolaHomestead.svg
First National Bank,Rosedale,15814,The Jefferson Bank,June 4 2010,4-Jun-10,21-Mar-14,2010-06-04-firstnational-nologo.svg
TierOne Bank,Lincoln,29341,Great Western Bank,June 4 2010,4-Jun-10,14-Sep-12,2010-06-04-Tier%20One%20Bank.svg
Washington First International Bank,Seattle,32955,East West Bank,June 11 2010,11-Jun-10,14-Sep-12,2010-06-11-washington-first.svg
Nevada Security Bank,Reno,57110,Umpqua Bank,June 18 2010,18-Jun-10,23-Aug-12,2010-06-18-nevadasecuritybank.svg
First National Bank,Savannah,34152,"The Savannah Bank, N.A.",June 25 2010,25-Jun-10,21-Mar-14,2010-06-25-First-National-Bank.svg
High Desert State Bank,Albuquerque,35279,First American Bank,June 25 2010,25-Jun-10,14-Sep-12,2010-06-25-highdesertstatebank.svg
Peninsula Bank,Englewood,26563,"Premier American Bank, N.A.",June 25 2010,25-Jun-10,21-Mar-14,2010-06-25-peninsulabank.svg
Home National Bank,Blackwell,11636,RCB Bank,July 9 2010,9-Jul-10,10-Dec-12,2010-07-10-homenational.svg
USA Bank,Port Chester,58072,New Century Bank,July 9 2010,9-Jul-10,14-Sep-12,2010-07-10-usabank.svg
Ideal Federal Savings Bank,Baltimore,32456,No Acquirer,July 9 2010,9-Jul-10,14-Sep-12,2010-07-09-idealfederal1.svg
Bay National Bank,Baltimore,35462,"Bay Bank, FSB",July 9 2010,9-Jul-10,15-Jan-13,2010-07-09-baynational.svg
Metro Bank of Dade County,Miami,25172,NAFH National Bank,July 16 2010,16-Jul-10,21-Mar-14,2010-07-16-metrobankfl.svg
"Mainstreet Savings Bank, FSB",Hastings,28136,Commercial Bank,July 16 2010,16-Jul-10,13-Sep-12,2010-07-16-MainstreetSavingsBank.svg
Olde Cypress Community Bank,Clewiston,28864,"CenterState Bank of Florida, N.A.",July 16 2010,16-Jul-10,21-Mar-14,2010-07-16-oldecypress.svg
Turnberry Bank,Aventura,32280,NAFH National Bank,July 16 2010,16-Jul-10,21-Mar-14,2010-07-16-turnberry.svg
First National Bank of the South,Spartanburg,35383,NAFH National Bank,July 16 2010,16-Jul-10,21-Mar-14,2010-07-16-firstnatlsc.svg
Woodlands Bank,Bluffton,32571,Bank of the Ozarks,July 16 2010,16-Jul-10,21-Mar-14,2010-07-16-woodlands.svg
Crescent Bank and Trust Company,Jasper,27559,Renasant Bank,July 23 2010,23-Jul-10,21-Mar-14,2010-07-23-logo-crescentga.svg
Community Security Bank,New Prague,34486,Roundbank,July 23 2010,23-Jul-10,12-Sep-12,2010-07-23-logo-communitysecmn.svg
Home Valley Bank,Cave Junction,23181,South Valley Bank & Trust,July 23 2010,23-Jul-10,12-Sep-12,2010-07-23-homevalleybank.svg
SouthwestUSA Bank,Las Vegas,35434,Plaza Bank,July 23 2010,23-Jul-10,22-Aug-12,2010-07-23-logo-southwestusanv.svg
Thunder Bank,Sylvan Grove,10506,The Bennington State Bank,July 23 2010,23-Jul-10,13-Sep-12,2010-07-23-logo-thunderbankks.svg
Williamsburg First National Bank,Kingstree,17837,"First Citizens Bank and Trust Company, Inc.",July 23 2010,23-Jul-10,21-Mar-14,2010-07-23-williamsburg-fnb-prt.svg
Sterling Bank,Lantana,32536,IBERIABANK,July 23 2010,23-Jul-10,21-Mar-14,2010-07-23-logo-sterlingfl.svg
LibertyBank,Eugene,31964,Home Federal Bank,July 30 2010,30-Jul-10,22-Aug-12,2010-07-30-logo-libertyor.svg
Coastal Community Bank,Panama City Beach,9619,Centennial Bank,July 30 2010,30-Jul-10,21-Mar-14,2010-07-30-logo-coastal.svg
Bayside Savings Bank,Port Saint Joe,57669,Centennial Bank,July 30 2010,30-Jul-10,21-Mar-14,2010-07-30-logo-bayside.svg
The Cowlitz Bank,Longview,22643,Heritage Bank,July 30 2010,30-Jul-10,22-Aug-12,2010-07-30-cowlitz.svg
Northwest Bank & Trust,Acworth,57658,State Bank and Trust Company,July 30 2010,30-Jul-10,21-Mar-14,2010-07-30-logo-northwestga.svg
Ravenswood Bank,Chicago,34231,Northbrook Bank & Trust Company,August 6 2010,6-Aug-10,22-Aug-12,2010-08-06-ravenswood.svg
Palos Bank and Trust Company,Palos Heights,17599,First Midwest Bank,August 13 2010,13-Aug-10,22-Aug-12,2010-08-13-palosbank.svg
Community National Bank at Bartow,Bartow,25266,"CenterState Bank of Florida, N.A.",August 20 2010,20-Aug-10,21-Mar-14,2010-08-20-cnbbartow.svg
Los Padres Bank,Solvang,32165,Pacific Western Bank,August 20 2010,20-Aug-10,12-Sep-12,2010-08-20-lospadres.svg
ShoreBank,Chicago,15640,Urban Partnership Bank,August 20 2010,20-Aug-10,16-May-13,2010-08-20-shorebank.svg
Independent National Bank,Ocala,27344,"CenterState Bank of Florida, N.A.",August 20 2010,20-Aug-10,21-Mar-14,2010-08-20-independentntlbank.svg
Imperial Savings and Loan Association,Martinsville,31623,"River Community Bank, N.A.",August 20 2010,20-Aug-10,24-Aug-12,2010-08-20-imperialsvgs-prt.svg
Sonoma Valley Bank,Sonoma,27259,Westamerica Bank,August 20 2010,20-Aug-10,12-Sep-12,2010-08-20-sonoma-prt.svg
Butte Community Bank,Chico,33219,"Rabobank, N.A.",August 20 2010,20-Aug-10,12-Sep-12,2011-08-20-butte.svg
Pacific State Bank,Stockton,27090,"Rabobank, N.A.",August 20 2010,20-Aug-10,12-Sep-12,2010-05-20-pacificstate.ai.svg
Horizon Bank,Bradenton,35061,Bank of the Ozarks,September 10 2010,10-Sep-10,21-Mar-14,2010-09-10-Horizonfl.svg
The Peoples Bank,Winder,182,Community & Southern Bank,September 17 2010,17-Sep-10,21-Mar-14,2010-09-17-peoplesbank_ga.svg
Maritime Savings Bank,West Allis,28612,"North Shore Bank, FSB",September 17 2010,17-Sep-10,20-Aug-12,2010-09-17-maritimesavings.ai.svg
Bramble Savings Bank,Milford,27808,Foundation Bank,September 17 2010,17-Sep-10,20-Aug-12,2010-09-17-bramblesavings.svg
First Commerce Community Bank,Douglasville,57448,Community & Southern Bank,September 17 2010,17-Sep-10,21-Mar-14,2010-09-17-FCCB.ai.svg
Bank of Ellijay,Ellijay,58197,Community & Southern Bank,September 17 2010,17-Sep-10,21-Mar-14,2010-09-17-bankellijay.ai.svg
ISN Bank,Cherry Hill,57107,Customers Bank,September 17 2010,17-Sep-10,22-Aug-12,2010-09-17-isnbank.ai.svg
North County Bank,Arlington,35053,Whidbey Island Bank,September 24 2010,24-Sep-10,20-Aug-12,2010-09-24-northcounty.ai.svg
Haven Trust Bank Florida,Ponte Vedra Beach,58308,First Southern Bank,September 24 2010,24-Sep-10,21-Mar-14,2010-09-24-haventrustbankflorida.svg
Wakulla Bank,Crawfordville,21777,Centennial Bank,October 1 2010,1-Oct-10,21-Mar-14,2010-08-01-wakulla.svg
Shoreline Bank,Shoreline,35250,GBC International Bank,October 1 2010,1-Oct-10,20-Aug-12,2010-10-01-shoreline-prt.svg
WestBridge Bank and Trust Company,Chesterfield,58205,Midland States Bank,October 15 2010,15-Oct-10,20-Aug-12,2010-08-15-westbridge.svg
"Security Savings Bank, F.S.B.",Olathe,30898,Simmons First National Bank,October 15 2010,15-Oct-10,20-Aug-12,2010-08-15-securitysavingsfsb-prt.svg
Premier Bank,Jefferson City,34016,Providence Bank,October 15 2010,15-Oct-10,20-Aug-12,2010-10-15-PremierBank.svg
First Suburban National Bank,Maywood,16089,Seaway Bank and Trust Company,October 22 2010,22-Oct-10,20-Aug-12,2010-10-22-firstsuburban.svg
"First Arizona Savings, A FSB",Scottsdale,32582,No Acquirer,October 22 2010,22-Oct-10,20-Aug-12,2010-10-22-firstarizonasavings.ai.svg
Hillcrest Bank,Overland Park,22173,"Hillcrest Bank, N.A.",October 22 2010,22-Oct-10,20-Aug-12,2010-10-22-%20%20hillcrest.ai.svg
The First National Bank of Barnesville,Barnesville,2119,United Bank,October 22 2010,22-Oct-10,21-Mar-14,2010-10-22-fnbb.ai.svg
The Gordon Bank,Gordon,33904,Morris Bank,October 22 2010,22-Oct-10,21-Mar-14,2010-10-22-gordonbank.ai.svg
Progress Bank of Florida,Tampa,32251,Bay Cities Bank,October 22 2010,22-Oct-10,21-Mar-14,2010-10-22-progressbank.ai.svg
First Bank of Jacksonville,Jacksonville,27573,Ameris Bank,October 22 2010,22-Oct-10,21-Mar-14,2010-10-22-firstbankjacksonville.ai.svg
First Vietnamese American Bank,Westminster,57885,Grandpoint Bank,November 5 2010,5-Nov-10,12-Sep-12,2010-11-05-firstvietnamese.ai.svg
Pierce Commercial Bank,Tacoma,34411,Heritage Bank,November 5 2010,5-Nov-10,20-Aug-12,2010-11-05-piercecommercial.ai.svg
Western Commercial Bank,Woodland Hills,58087,First California Bank,November 5 2010,5-Nov-10,12-Sep-12,2010-11-05-westerncomm.ai.svg
K Bank,Randallstown,31263,Manufacturers and Traders Trust Company (M&T Bank),November 5 2010,5-Nov-10,20-Aug-12,2010-11-05-Kbank.svg
Copper Star Bank,Scottsdale,35463,"Stearns Bank, N.A.",November 12 2010,12-Nov-10,20-Aug-12,2010-11-12-copperstar.svg
Darby Bank & Trust Co.,Vidalia,14580,Ameris Bank,November 12 2010,12-Nov-10,21-Mar-14,2010-11-12-darby.svg
Tifton Banking Company,Tifton,57831,Ameris Bank,November 12 2010,12-Nov-10,21-Mar-14,2010-11-12-tiftonbanking.ai.svg
First Banking Center,Burlington,5287,First Michigan Bank,November 19 2010,19-Nov-10,20-Aug-12,2010-11-19-firstbanking.svg
Allegiance Bank of North America,Bala Cynwyd,35078,VIST Bank,November 19 2010,19-Nov-10,20-Aug-12,2010-11-19-allegiancebank.ai.svg
Gulf State Community Bank,Carrabelle,20340,Centennial Bank,November 19 2010,19-Nov-10,21-Mar-14,2010-11-19-gulfstate.svg
Earthstar Bank,Southampton,35561,Polonia Bank,December 10 2010,10-Dec-10,20-Aug-12,2010-12-10-earthstar-trim.svg
Paramount Bank,Farmington Hills,34673,Level One Bank,December 10 2010,10-Dec-10,20-Aug-12,2010-12-10-paramountbank.ai.svg
"United Americas Bank, N.A.",Atlanta,35065,State Bank and Trust Company,December 17 2010,17-Dec-10,21-Mar-14,2010-12-17-unitedamericas.svg
First Southern Bank,Batesville,58052,Southern Bank,December 17 2010,17-Dec-10,20-Aug-12,2010-12-17-firstsouthernbank.ai.svg
Community National Bank,Lino Lakes,23306,Farmers & Merchants Savings Bank,December 17 2010,17-Dec-10,20-Aug-12,2010-12-10-communitynationalbank.svg
"Appalachian Community Bank, FSB",McCaysville,58495,Peoples Bank of East Tennessee,December 17 2010,17-Dec-10,21-Mar-14,2010-12-17-appalachianCommunityBank%20copy.svg
Chestatee State Bank,Dawsonville,34578,Bank of the Ozarks,December 17 2010,17-Dec-10,21-Mar-14,2010-12-10-chestatee.ai.svg
"The Bank of Miami,N.A.",Coral Gables,19040,1st United Bank,December 17 2010,17-Dec-10,21-Mar-14,2010-12-17-bankofmiami.svg
Legacy Bank,Scottsdale,57820,Enterprise Bank & Trust,January 7 2011,7-Jan-11,12-Sep-12,2011-01-07-legacy_bank.svg
First Commercial Bank of Florida,Orlando,34965,First Southern Bank,January 7 2011,7-Jan-11,21-Mar-14,2011-01-07-firstcommercial.svg
Oglethorpe Bank,Brunswick,57440,Bank of the Ozarks,January 14 2011,14-Jan-11,21-Mar-14,2011-01-14-oglethorpe.svg
The Bank of Asheville,Asheville,34516,First Bank,January 21 2011,21-Jan-11,21-Mar-14,2011-01-21-bankofasheville.svg
CommunitySouth Bank & Trust,Easley,57868,"CertusBank, National Association",January 21 2011,21-Jan-11,21-Mar-14,2011-01-21-commsouth.svg
Enterprise Banking Company,McDonough,19758,No Acquirer,January 21 2011,21-Jan-11,21-Mar-14,2011-01-21-enterprisebank.svg
United Western Bank,Denver,31293,First-Citizens Bank & Trust Company,January 21 2011,21-Jan-11,12-Sep-12,2011-01-21-unitedwestern.svg
First Community Bank,Taos,12261,"U.S. Bank, N.A.",January 28 2011,28-Jan-11,12-Sep-12,2011-01-28-firstcomm_nm.svg
FirsTier Bank,Louisville,57646,No Acquirer,January 28 2011,28-Jan-11,12-Sep-12,2011-01-28-firstier.svg
The First State Bank,Camargo,2303,Bank 7,January 28 2011,28-Jan-11,12-Sep-12,2011-01-28-TheFirstStateBank.svg
Evergreen State Bank,Stoughton,5328,McFarland State Bank,January 28 2011,28-Jan-11,12-Sep-12,2011-01-28-evergreenstate.ai.svg
North Georgia Bank,Watkinsville,35242,BankSouth,February 4 2011,4-Feb-11,21-Mar-14,2011-02-04-northgeorgia.svg
Community First Bank Chicago,Chicago,57948,Northbrook Bank & Trust Company,February 4 2011,4-Feb-11,20-Aug-12,2011-02-04-commfirst_il.svg
American Trust Bank,Roswell,57432,Renasant Bank,February 4 2011,4-Feb-11,21-Mar-14,2011-02-04-americantrust2.svg
Canyon National Bank,Palm Springs,34692,Pacific Premier Bank,February 11 2011,11-Feb-11,19-Aug-14,2011-02-11-CanyonNationalBank.svg
Badger State Bank,Cassville,13272,Royal Bank,February 11 2011,11-Feb-11,12-Sep-12,2011-02-11-BadgerStateBank.svg
Peoples State Bank,Hamtramck,14939,First Michigan Bank,February 11 2011,11-Feb-11,22-Jan-13,2011-02-11PeoplesStatebank.svg
Sunshine State Community Bank,Port Orange,35478,"Premier American Bank, N.A.",February 11 2011,11-Feb-11,21-Mar-14,2011-02-11SunshineStateCommunityBank.svg
"San Luis Trust Bank, FSB",San Luis Obispo,34783,First California Bank,February 18 2011,18-Feb-11,20-Aug-12,2011-02-18-sanluis.ai.svg
Charter Oak Bank,Napa,57855,Bank of Marin,February 18 2011,18-Feb-11,12-Sep-12,2011-02-18-charteroak.ai.svg
Citizens Bank of Effingham,Springfield,34601,Heritage Bank of the South,February 18 2011,18-Feb-11,21-Mar-14,2011-02-18-citibankeffingham.ai.svg
Habersham Bank,Clarkesville,151,SCBT National Association,February 18 2011,18-Feb-11,21-Mar-14,2011-02-18-habersham.ai.svg
Valley Community Bank,St. Charles,34187,First State Bank,February 25 2011,25-Feb-11,22-Sep-14,2011-02-25-valleycomm.ai.svg
Legacy Bank,Milwaukee,34818,Seaway Bank and Trust Company,March 11 2011,11-Mar-11,12-Sep-12,2011-03-11-Legacy-wi.svg
First National Bank of Davis,Davis,4077,The Pauls Valley National Bank,March 11 2011,11-Mar-11,20-Aug-12,2011-03-11-firstbankdavis.ai.svg
The Bank of Commerce,Wood Dale,34292,Advantage National Bank Group,March 25 2011,25-Mar-11,22-Jan-13,2011-03-25-TheBankofCommerce.svg
Nevada Commerce Bank,Las Vegas,35418,City National Bank,April 8 2011,8-Apr-11,9-Sep-12,2011-04-08-ncb-cnb.svg
Western Springs National Bank and Trust,Western Springs,10086,Heartland Bank and Trust Company,April 8 2011,8-Apr-11,22-Jan-13,2011-04-08-westernsprings.ai.svg
Heritage Banking Group,Carthage,14273,Trustmark National Bank,April 15 2011,15-Apr-11,21-Mar-14,2011-04-15-heritage_ms.svg
Bartow County Bank,Cartersville,21495,Hamilton State Bank,April 15 2011,15-Apr-11,21-Mar-14,2011-04-15-bartow.svg
Rosemount National Bank,Rosemount,24099,Central Bank,April 15 2011,15-Apr-11,16-Aug-12,2011-04-15-rosemount.ai.svg
Superior Bank,Birmingham,17750,"Superior Bank, National Association",April 15 2011,15-Apr-11,21-Mar-14,2011-04-15-superiorbank.ai.svg
Nexity Bank,Birmingham,19794,AloStar Bank of Commerce,April 15 2011,15-Apr-11,21-Mar-14,2011-04-15-nexitybank.ai.svg
New Horizons Bank,East Ellijay,57705,Citizens South Bank,April 15 2011,15-Apr-11,21-Mar-14,2011-04-15-newhorizons2.svg
Community Central Bank,Mount Clemens,34234,Talmer Bank & Trust,April 29 2011,29-Apr-11,16-Aug-12,2011-04-29-communitycentral.svg
First Choice Community Bank,Dallas,58539,Bank of the Ozarks,April 29 2011,29-Apr-11,21-Mar-14,2011-04-29-firstchoice.svg
Cortez Community Bank,Brooksville,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",April 29 2011,29-Apr-11,21-Mar-14,2011-04-29-cortezcomm.ai.svg
First National Bank of Central Florida,Winter Park,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",April 29 2011,29-Apr-11,21-Mar-14,2011-04-29-firstnationalCF.ai.svg
The Park Avenue Bank,Valdosta,19797,Bank of the Ozarks,April 29 2011,29-Apr-11,21-Mar-14,2011-04-29-parkavenue_ga.svg
Coastal Bank,Cocoa Beach,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May,6 2011",6-May-11,21-Mar-14,2011-05-06-coastal_fl.svg
Atlantic Southern Bank,Macon,57213,"CertusBank, National Association","May,20 2011",20-May-11,21-Mar-14,2011-05-20-atlanticsthrn.svg
Summit Bank,Burlington,513,Columbia State Bank,"May,20 2011",20-May-11,22-Jan-13,2011-05-20-SummitBank.svg
First Georgia Banking Company,Franklin,57647,"CertusBank, National Association","May,20 2011",20-May-11,21-Mar-14,2011-03-20-firstgeorgiabankcomp.svg
First Heritage Bank,Snohomish,23626,Columbia State Bank,"May,27 2011",27-May-11,28-Jan-13,2011-05-27-firstheritage.ai.svg
Atlantic Bank and Trust,Charleston,58420,"First Citizens Bank and Trust Company, Inc.",June 3 2011,3-Jun-11,21-Mar-14,2011-06-03-atlanticbanktrust.svg
McIntosh State Bank,Jackson,19237,Hamilton State Bank,June 17 2011,17-Jun-11,21-Mar-14,2011-06-17-mcintoshstate.svg
First Commercial Bank of Tampa Bay,Tampa,27583,Stonegate Bank,June 17 2011,17-Jun-11,21-Mar-14,2011-06-17-firstcommercialbanktampa.ai.svg
Mountain Heritage Bank,Clayton,57593,First American Bank and Trust Company,June 24 2011,24-Jun-11,21-Mar-14,2011-06-24-mountain.svg
Signature Bank,Windsor,57835,Points West Community Bank,July 8 2011,8-Jul-11,26-Oct-12,2011-07-08-signaturebank.ai.svg
Colorado Capital Bank,Castle Rock,34522,First-Citizens Bank & Trust Company,July 8 2011,8-Jul-11,15-Jan-13,2011-07-08-colorado-capital.svg
First Chicago Bank & Trust,Chicago,27935,Northbrook Bank & Trust Company,July 8 2011,8-Jul-11,9-Sep-12,2011-07-08-firstchicagobanktrust.ai.svg
First Peoples Bank,Port St. Lucie,34870,"Premier American Bank, N.A.",July 15 2011,15-Jul-11,21-Mar-14,2011-07-15-firstpeoples1.svg
Summit Bank,Prescott,57442,The Foothills Bank,July 15 2011,15-Jul-11,19-Aug-14,2011-07-15-summitbank.ai.svg
High Trust Bank,Stockbridge,19554,Ameris Bank,July 15 2011,15-Jul-11,21-Mar-14,2011-07-15-hightrust.ai.svg
One Georgia Bank,Atlanta,58238,Ameris Bank,July 15 2011,15-Jul-11,21-Mar-14,2011-07-15-onegeorgia.ai.svg
LandMark Bank of Florida,Sarasota,35244,American Momentum Bank,July 22 2011,22-Jul-11,21-Mar-14,2011-07-22-landmarkbankflorida.ai.svg
Southshore Community Bank,Apollo Beach,58056,American Momentum Bank,July 22 2011,22-Jul-11,21-Mar-14,2011-07-22-southshore.svg
Bank of Choice,Greeley,2994,"Bank Midwest, N.A.",July 22 2011,22-Jul-11,12-Sep-12,2011-07-22-bankofchoice.ai.svg
Integra Bank National Association,Evansville,4392,Old National Bank,July 29 2011,29-Jul-11,16-Aug-12,2011-07-29-integrabank.ai.svg
"BankMeridian, N.A.",Columbia,58222,SCBT National Association,July 29 2011,29-Jul-11,21-Mar-14,2011-07-29-meridianbank.ai.svg
Virginia Business Bank,Richmond,58283,Xenith Bank,July 29 2011,29-Jul-11,9-Oct-12,2011-07-29-virginiabusiness.ai.svg
Bank of Whitman,Colfax,22528,Columbia State Bank,August 5 2011,5-Aug-11,16-Aug-12,2011-08-05-bankwhitman.ai.svg
