,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Freedom Bank,Bradenton,57930,Fifth Third Bank,October 31 2008,31-Oct-08,16-Aug-12,10-31-2008-FreedomBank.svg
"Franklin Bank, SSB",Houston,26870,Prosperity Bank,November 7 2008,7-Nov-08,16-Aug-12,2008-11-07-franklinbank.svg
Security Pacific Bank,Los Angeles,23595,Pacific Western Bank,November 7 2008,7-Nov-08,28-Aug-12,2008-11-07-securitypacificbank.svg
Community Bank,Loganville,16490,Bank of Essex,November 21 2008,21-Nov-08,4-Sep-12,2008-11-21-community-nologo.svg
PFF Bank & Trust,Pomona,28344,"U.S. Bank, N.A.",November 21 2008,21-Nov-08,4-Jan-13,2008-11-21-PFFbanktrust.svg
Downey Savings & Loan,Newport Beach,30968,"U.S. Bank, N.A.",November 21 2008,21-Nov-08,4-Jan-13,2008-11-21-downeysavingstrust.svg
First Georgia Community Bank,Jackson,34301,United Bank,December 5 2008,5-Dec-08,16-Aug-12,2008-12-05-firstgeorgiacommbank.svg
Sanderson State Bank,Sanderson,11568,The Pecos County State Bank,December 12 2008,12-Dec-08,25-Oct-13,2008-12-12-SandersonStateBank.svg
Haven Trust Bank,Duluth,35379,"Branch Banking & Trust Company, (BB&T)",December 12 2008,12-Dec-08,16-Aug-12,2011-09-24-haventrust_fl.svg
National Bank of Commerce,Berkeley,19733,Republic Bank of Chicago,January 16 2009,16-Jan-09,16-Aug-12,2009-01-16-first-commerce.svg
Bank of Clark County,Vancouver,34959,Umpqua Bank,January 16 2009,16-Jan-09,16-Aug-12,2009-01-16-bankofclarkcounty.svg
1st Centennial Bank,Redlands,33025,First California Bank,January 23 2009,23-Jan-09,16-Aug-12,2009-01-23-1stcentennial.svg
Ocala National Bank,Ocala,26538,"CenterState Bank of Florida, N.A.",January 30 2009,30-Jan-09,4-Sep-12,2009-01-30-ocalanationalbank.svg
Suburban FSB,Crofton,30763,Bank of Essex,January 30 2009,30-Jan-09,16-Aug-12,2009-01-30-suburbanfederalsavings.svg
MagnetBank,Salt Lake City,58001,No Acquirer,January 30 2009,30-Jan-09,16-Aug-12,2009-01-30-magnetbank.svg
County Bank,Merced,22574,Westamerica Bank,February 6 2009,6-Feb-09,4-Sep-12,2009-02-06-countybank.svg
Alliance Bank,Culver City,23124,California Bank & Trust,February 6 2009,6-Feb-09,16-Aug-12,2009-02-06-alliancebank.svg
FirstBank Financial Services,McDonough,57017,Regions Bank,February 6 2009,6-Feb-09,16-Aug-12,2009-02-06-firstbankfinancial.svg
Pinnacle Bank of Oregon,Beaverton,57342,Washington Trust Bank of Spokane,February 13 2009,13-Feb-09,17-Aug-12,2009-02-13-pinnaclebank.svg
Corn Belt Bank & Trust Co.,Pittsfield,16500,The Carlinville National Bank,February 13 2009,13-Feb-09,17-Aug-12,2009-02-13-cornbeltbanktrust.svg
Riverside Bank of the Gulf Coast,Cape Coral,34563,TIB Bank,February 13 2009,13-Feb-09,17-Aug-12,2009-02-13-RiverSideBank.svg
Sherman County Bank,Loup City,5431,Heritage Bank,February 13 2009,13-Feb-09,17-Aug-12,2009-02-13-shermancountybank.svg
Silver Falls Bank,Silverton,35399,Citizens Bank,February 20 2009,20-Feb-09,17-Aug-12,2009-02-20-silverfallsbank.svg
Security Savings Bank,Henderson,34820,Bank of Nevada,February 27 2009,27-Feb-09,7-Sep-12,2009-02-27-securitysavingsbank.svg
Heritage Community Bank,Glenwood,20078,"MB Financial Bank, N.A.",February 27 2009,27-Feb-09,17-Aug-12,2009-02-27-feritagecommbank.svg
Freedom Bank of Georgia,Commerce,57558,Northeast Georgia Bank,March 6 2009,6-Mar-09,17-Aug-12,2009-03-06-freedombankofgeorgia.svg
"TeamBank, NA",Paola,4754,Great Southern Bank,March 20 2009,20-Mar-09,17-Aug-12,2009-03-20-teambank.svg
Colorado National Bank,Colorado Springs,18896,Herring Bank,March 20 2009,20-Mar-09,17-Aug-12,2009-03-20-coloradonationalbank.svg
FirstCity Bank,Stockbridge,18243,No Acquirer,March 20 2009,20-Mar-09,17-Aug-12,2009-03-20-firstcity_bank.svg
Omni National Bank,Atlanta,22238,No Acquirer,March 27 2009,27-Mar-09,17-Aug-12,2009-03-27-omninationalbank.svg
New Frontier Bank,Greeley,34881,No Acquirer,April 10 2009,10-Apr-09,4-Sep-12,2009-04-10-newfrontierbank.svg
Cape Fear Bank,Wilmington,34639,First Federal Savings and Loan Association,April 10 2009,10-Apr-09,17-Aug-12,2009-04-10-capefearbank.svg
Great Basin Bank of Nevada,Elko,33824,Nevada State Bank,April 17 2009,17-Apr-09,4-Sep-12,2009-04-17-GreatBasinBankofNevada.svg
American Sterling Bank,Sugar Creek,8266,Metcalf Bank,April 17 2009,17-Apr-09,31-Aug-12,2009-04-17-americansterling.svg
First Bank of Idaho,Ketchum,34396,"U.S. Bank, N.A.",April 24 2009,24-Apr-09,17-Aug-12,2009-04-24-firstbankidaho.svg
First Bank of Beverly Hills,Calabasas,32069,No Acquirer,April 24 2009,24-Apr-09,4-Sep-12,2009-04-24-firstbankbeverlyhills.svg
Michigan Heritage Bank,Farmington Hills,34369,Level One Bank,April 24 2009,24-Apr-09,17-Aug-12,2009-04-24-michiganheritage.svg
American Southern Bank,Kennesaw,57943,Bank of North Georgia,April 24 2009,24-Apr-09,17-Aug-12,2009-04-24-americansouthernbank.svg
America West Bank,Layton,35461,Cache Valley Bank,"May,1 2009",1-May-09,17-Aug-12,2009-05-01-americawestbank.svg
Citizens Community Bank,Ridgewood,57563,North Jersey Community Bank,"May,1 2009",1-May-09,4-Sep-12,2009-05-01-citizenscommbank.svg
"Silverton Bank, NA",Atlanta,26535,No Acquirer,"May,1 2009",1-May-09,17-Aug-12,2009-05-01-silvertonbank.svg
Westsound Bank,Bremerton,34843,Kitsap Bank,May 2008 2009,8-May-09,4-Sep-12,2009-05-08-westsoundbank.svg
"BankUnited, FSB",Coral Gables,32247,BankUnited,"May,21 2009",21-May-09,17-Aug-12,2009-05-21-bankunited.svg
Citizens National Bank,Macomb,5757,Morton Community Bank,"May,22 2009",22-May-09,4-Sep-12,2009-05-22-citizensnationalbank.svg
Strategic Capital Bank,Champaign,35175,Midland States Bank,"May,22 2009",22-May-09,4-Sep-12,2009-05-22-strategiccapital.svg
Bank of Lincolnwood,Lincolnwood,17309,Republic Bank of Chicago,June 5 2009,5-Jun-09,17-Aug-12,2009-06-05-bankoflincolnwood.svg
First National Bank of Anthony,Anthony,4614,Bank of Kansas,June 19 2009,19-Jun-09,17-Aug-12,2009-07-19-FirstNationalBankofAnthony.svg
Cooperative Bank,Wilmington,27837,First Bank,June 19 2009,19-Jun-09,17-Aug-12,2009-06-19-cooperativebank.svg
Southern Community Bank,Fayetteville,35251,United Community Bank,June 19 2009,19-Jun-09,17-Aug-12,2009-06-19-southerncommunitybank.svg
Mirae Bank,Los Angeles,57332,Wilshire State Bank,June 26 2009,26-Jun-09,20-Aug-12,2009-06-26-miraebank.svg
MetroPacific Bank,Irvine,57893,Sunwest Bank,June 26 2009,26-Jun-09,20-Aug-12,2009-06-26-metropacificbank.svg
